Country,Status,Life_expectancy,Diabetes_prevalence(%),Vaccination_rate(per million people)
Afghanistan,Developing,65.0,7.6,5394.6465
Afghanistan,Developing,65.0,10.9,5394.6465
Afghanistan,Developing,59.9,7.6,5394.6465
Afghanistan,Developing,59.9,10.9,5394.6465
Afghanistan,Developing,59.9,7.6,5394.6465
Afghanistan,Developing,59.9,10.9,5394.6465
Afghanistan,Developing,59.5,7.6,5394.6465
Afghanistan,Developing,59.5,10.9,5394.6465
Afghanistan,Developing,59.2,7.6,5394.6465
Afghanistan,Developing,59.2,10.9,5394.6465
Afghanistan,Developing,58.8,7.6,5394.6465
Afghanistan,Developing,58.8,10.9,5394.6465
Afghanistan,Developing,58.6,7.6,5394.6465
Afghanistan,Developing,58.6,10.9,5394.6465
Afghanistan,Developing,58.1,7.6,5394.6465
Afghanistan,Developing,58.1,10.9,5394.6465
Afghanistan,Developing,57.5,7.6,5394.6465
Afghanistan,Developing,57.5,10.9,5394.6465
Afghanistan,Developing,57.3,7.6,5394.6465
Afghanistan,Developing,57.3,10.9,5394.6465
Afghanistan,Developing,57.3,7.6,5394.6465
Afghanistan,Developing,57.3,10.9,5394.6465
Afghanistan,Developing,57.0,7.6,5394.6465
Afghanistan,Developing,57.0,10.9,5394.6465
Afghanistan,Developing,56.7,7.6,5394.6465
Afghanistan,Developing,56.7,10.9,5394.6465
Afghanistan,Developing,56.2,7.6,5394.6465
Afghanistan,Developing,56.2,10.9,5394.6465
Afghanistan,Developing,55.3,7.6,5394.6465
Afghanistan,Developing,55.3,10.9,5394.6465
Afghanistan,Developing,54.8,7.6,5394.6465
Afghanistan,Developing,54.8,10.9,5394.6465
Albania,Developing,77.8,2.8,6212.1157
Albania,Developing,77.8,10.2,6212.1157
Albania,Developing,77.5,2.8,6212.1157
Albania,Developing,77.5,10.2,6212.1157
Albania,Developing,77.2,2.8,6212.1157
Albania,Developing,77.2,10.2,6212.1157
Albania,Developing,76.9,2.8,6212.1157
Albania,Developing,76.9,10.2,6212.1157
Albania,Developing,76.6,2.8,6212.1157
Albania,Developing,76.6,10.2,6212.1157
Albania,Developing,76.2,2.8,6212.1157
Albania,Developing,76.2,10.2,6212.1157
Albania,Developing,76.1,2.8,6212.1157
